rank,title,Revenues,Profits,Latitude,Longitude
1,Walmart,500343,9862,36.3728538,-94.2088172
2,Exxon Mobil,244363,19710,32.8140177,-96.9488945
3,Berkshire Hathaway,242137,44940,41.2565369,-95.9345034
4,Apple,229234,48351,37.3229978,-122.0321823
5,UnitedHealth Group,201159,10558,44.9211836,-93.4687489
6,McKesson,198533,5070,37.7749295,-122.4194155
7,CVS Health,184765,6622,42.0028761,-71.5147839
8,Amazon.com,177866,3033,47.6062095,-122.3320708
9,AT&T,160546,29450,32.7766642,-96.7969879
10,General Motors,157311,-3864,42.331427,-83.0457538
11,Ford Motor,156776,7602,42.3222599,-83.1763145
12,AmerisourceBergen,153144,364.5,40.0756627,-75.4590816
13,Chevron,134533,9195,37.7799273,-121.9780153
14,Cardinal Health,129976,1288,40.0992294,-83.1140771
15,Costco,129025,2679,47.5301011,-122.0326191
16,Verizon,126034,30101,40.7127753,-74.0059728
17,Kroger,122662,1907,39.1031182,-84.5120196
18,General Electric,122274,-5786,42.3600825,-71.0588801
19,Walgreens Boots Alliance,118214,4078,42.1711365,-87.8445119
20,JPMorgan Chase,113899,24441,40.7127753,-74.0059728
21,Fannie Mae,112394,2463,47.7510741,-120.7401385
22,Alphabet,110855,12662,37.3860517,-122.0838511
23,Home Depot,100904,8630,33.7489954,-84.3879824
24,Bank of America Corp.,100264,18232,35.2270869,-80.8431267
25,Express Scripts Holding,100065,4517.4,38.6270025,-90.1994042
26,Wells Fargo,97741,22183,37.7749295,-122.4194155
27,Boeing,93392,8197,41.8781136,-87.6297982
28,Phillips 66,91568,5106,29.7604267,-95.3698028
29,Anthem,90040,3842.8,39.768403,-86.158068
30,Microsoft,89950,21204,47.6739881,-122.121512
31,Valero Energy,88407,4065,29.4241219,-98.4936282
32,Citigroup,87966,-6798,40.7127753,-74.0059728
33,Comcast,84526,22714,39.9525839,-75.1652215
34,IBM,79139,5753,41.1264849,-73.7140195
35,Dell Technologies,78660,-3728,30.5082551,-97.678896
36,State Farm Insurance Cos.,78331,2206.5,40.4842027,-88.9936873
37,Johnson & Johnson,76450,1300,40.4862157,-74.4518188
38,Freddie Mac,74676,5625,38.9338676,-77.1772604
39,Target,71879,2934,44.977753,-93.2650108
40,Lowes,68619,3447,35.5848596,-80.8100724
41,Marathon Petroleum,67610,3432,41.04422,-83.6499321
42,Procter & Gamble,66217,15326,39.1031182,-84.5120196
43,MetLife,66153,4010,40.7127753,-74.0059728
44,UPS,65872,4910,33.7489954,-84.3879824
45,PepsiCo,63525,4857,41.0400135,-73.7144477
46,Intel,62761,9601,37.3541079,-121.9552356
47,DowDuPont,62683,1460,43.623574,-84.232105
48,Archer Daniels Midland,60828,1595,41.8781136,-87.6297982
49,Aetna,60535,1904,41.7658043,-72.6733723
50,FedEx,60319,2997,35.1495343,-90.0489801
51,United Technologies,59837,4552,41.7360305,-72.795027
52,Prudential Financial,59689,7863,40.735657,-74.1723667
53,Albertsons Cos.,59678,-373.3,43.6150186,-116.2023137
54,Sysco,55371,1142.5,29.7604267,-95.3698028
55,Disney,55137,8980,34.1808392,-118.3089661
56,Humana,53767,2448,38.2526647,-85.7584557
57,Pfizer,52546,21308,40.7127753,-74.0059728
58,HP,52056,2526,37.4418834,-122.1430195
59,Lockheed Martin,51048,2002,38.984652,-77.0947092
60,AIG,49520,-6084,40.7127753,-74.0059728
61,Centene,48572,828,38.6270025,-90.1994042
62,Cisco Systems,48005,9609,37.3382082,-121.8863286
63,HCA Healthcare,47653,2216,36.1626638,-86.7816016
64,Energy Transfer Equity,47487,954,32.7766642,-96.7969879
65,Caterpillar,45462,754,42.1711365,-87.8445119
66,Nationwide,43940,246.5,39.9611755,-82.9987942
67,Morgan Stanley,43642,6111,40.7127753,-74.0059728
68,Liberty Mutual Insurance Group,42687,17,42.3600825,-71.0588801
69,New York Life Insurance,42296,1866.9,40.7127753,-74.0059728
70,Goldman Sachs Group,42254,4286,40.7127753,-74.0059728
71,American Airlines Group,42207,1919,32.7554883,-97.3307658
72,Best Buy,42151,1000,44.8832982,-93.2830021
73,Cigna,41616,2237,41.826488,-72.7300945
74,Charter Communications,41581,9895,41.0534302,-73.5387341
75,Delta Air Lines,41244,3577,33.7489954,-84.3879824
76,Facebook,40653,15934,37.4529598,-122.1817252
77,Honeywell International,40534,1655,40.8395922,-74.4818698
78,Merck,40122,2394,40.6764911,-74.2907032
79,Allstate,38524,3189,42.1275267,-87.8289548
80,Tyson Foods,38260,1774,36.1867442,-94.1288141
81,United Continental Holdings,37736,2131,41.8781136,-87.6297982
82,Oracle,37728,9335,37.4852152,-122.2363548
83,Tech Data,36775,116.6,27.9658533,-82.8001026
84,TIAA,36025,1049.7,40.7127753,-74.0059728
85,TJX,35865,2607.9,42.279286,-71.4161565
86,American Express,35583,2736,40.7127753,-74.0059728
87,Coca-Cola,35410,1248,33.7489954,-84.3879824
88,Publix Super Markets,34837,2291.9,28.0394654,-81.9498042
89,Nike,34350,4240,45.4887993,-122.8013332
90,Andeavor,34204,1528,29.4241219,-98.4936282
91,World Fuel Services,33696,-170.2,25.7616798,-80.1917902
92,Exelon,33531,3770,41.8781136,-87.6297982
93,Massachusetts Mutual Life Insurance,33495,513,42.1014831,-72.589811
94,Rite Aid,32845,4.1,40.2398118,-76.9199742
95,ConocoPhillips,32584,-855,29.7604267,-95.3698028
96,CHS,31935,127.9,44.8480218,-93.0427153
97,3M,31657,4858,44.9537029,-93.0899578
98,Time Warner,31271,5247,40.7127753,-74.0059728
99,General Dynamics,30973,2912,38.882334,-77.1710914
100,USAA,30016,2421.9,29.4241219,-98.4936282
101,Capital One Financial,29999,1982,38.9338676,-77.1772604
102,Deere,29738,2159.1,41.5067003,-90.5151342
103,INTL FCStone,29424,6.4,40.7127753,-74.0059728
104,Northwestern Mutual,29331,1017,43.0389025,-87.9064736
105,Enterprise Products Partners,29242,2799.3,29.7604267,-95.3698028
106,Travelers Cos.,28902,2056,40.7127753,-74.0059728
107,Hewlett Packard Enterprise,28871,344,37.4418834,-122.1430195
108,Philip Morris International,28748,6035,40.7127753,-74.0059728
109,Twenty-First Century Fox,28500,2952,40.7127753,-74.0059728
110,AbbVie,28216,5309,42.325578,-87.8411818
111,Abbott Laboratories,27390,477,42.304505,-87.8960712
112,Progressive,26839,1592.2,41.5519952,-81.4392828
113,Arrow Electronics,26813,402,39.5807452,-104.8771726
114,Kraft Heinz,26232,10999,40.4406248,-79.9958864
115,Plains GP Holdings,26223,-731,29.7604267,-95.3698028
116,Gilead Sciences,26107,4628,37.5585465,-122.2710788
117,Mondelez International,25896,2922,42.1711365,-87.8445119
118,Northrop Grumman,25803,2015,38.882334,-77.1710914
119,Raytheon,25348,2024,42.3764852,-71.2356113
120,Macys,24837,1547,39.1031182,-84.5120196
121,US Foods Holding,24147,444.3,41.9867507,-87.8721602
122,U.S. Bancorp,23996,6218,44.977753,-93.2650108
